"",ticker,名称,注册地,成立日期,行业,员工人数,公司介绍,港股通,市值(港元),股息率TTM(%),PE,PB
1451,01942,马可数字科技控股有限公司,Cayman Islands 开曼群岛（英属）,2019-06-04,其他金融,357.0,"马可数字科技控股有限公司是一间总部位于中国广东省的投资控股公司。本集团通过其子公司于中华人民共和国进行企业对企业硬件贸易,及于马来西亚从事销售光学产品以及特许经营及许可管理。经营分部包括(i)企业对企业硬件贸易;(ii)销售光学产品;(iii)特许经营及许可管理。本集团提供一系列硬件产品,包括但不限于视频监控系统、门禁系统及其他计算机网络系统。它还提供一系列光学产品,包括来自国际品牌、自有品牌和制造商品牌的镜片、镜框、隐形眼镜和太阳镜。业务网络覆盖中华人民共和国和马来西亚各地。",False,3.567878e+08,NaN,-2.315939,0.407548
1452,01943,金石控股集团有限公司,Cayman Islands 开曼群岛（英属）,2018-07-24,建筑,31.0,"金石控股集团有限公司乃位于香港从事提供模板工程服务的分包商,另在香港提供交易及经纪服务。本集团承接的模板工程主要包括(i)使用木材及合板的传统模板;(ii)使用铝和钢的系统模板。本集团亦依客户要求承接其他建筑工程,如抹灰、加建及加建工程及其他杂项工程,包括钢筋固定及混凝土浇筑。\n公司在建筑业占有一席之地,拥有超过25年的集团历史。合发旭英工程有限公司于1990年成立时,集团主要以分包商从事钢结构相关工程,并于1998年起专注于模板工程。\n公司的客户主要为香港建造业的领先承建商。公司专案的最终所有者来自私营和公共部门(包括政府和法定机构)。",False,7.618263e+08,NaN,-13.301898,8.674268
1453,01945,清科控股有限公司,Cayman Islands 开曼群岛（英属）,2019-08-01,其他金融,253.0,"清科控股有限公司致力于为行业提供创业与投资综合服务,专注服务创投每一程。清科创业于二零二零年登陆香港交易所(股票代码:1945.HK),二十余年构建的线上线下矩阵式产品和服务,已成为中国创业与投资市场的“基础设施”。旗下业务包括清科研究中心、清科咨询、清科传媒、沙丘投研院、清科科创、清科国际、清科资本七大业务体系。并涵盖私募通MAX、投资界、沙丘学堂、清科证券四大互联网产品,致力于为创业与投资行业提供及时、精准和有效的数据统计、信息资讯、在线学习和投资银行服务。",False,5.591756e+08,NaN,126.429847,0.909870
1454,01947,美皓医疗集团有限公司,Cayman Islands 开曼群岛（英属）,2019-11-18,其他医疗保健,412.0,"美皓医疗集团有限公司按2021年收益计,美皓医疗集团有限公司(‘美皓医疗集团’或‘本集团’)是温州最大的私人牙科服务提供商,提供综合牙科服务,主要涵盖口腔综合治疗科、口腔修复科、种植牙科及牙齿正畸科四个牙科领域。本集团于2011年开始向各年龄段的个人提供牙科服务,之后逐渐扩大业务。本集团拥有及运营由五家位于温州的民营牙科医院所组成的牙科医院网络,即温州市区的温州医院、鹿城医院及温州口腔、瑞安市的瑞安分院以及龙港市的龙港医院。除了2021年11月新成立的温州口腔,本集团的所有民营牙科医院均为相关医疗保障局营运的基本医疗保险计划下的‘医疗保险定点’医院。",False,2.190563e+08,NaN,-7.433046,1.827290
1455,01948,优矩控股有限公司,Cayman Islands 开曼群岛（英属）,2020-09-21,媒体及娱乐,884.0,"优矩控股有限公司是国内专业从事线上短视频营销解决方案的市场领跑者。公司横跨搜索、信息流、短视频媒体,致力于短视频生态,服务于国内千余家大型客户的整个营销链路;拥有月产过万条的短视频制作能力,在北京、上海、广州、重庆建有短视频拍摄基地。公司自主研发的技术系统——优量引擎,在运营和创制端为客户赋能。公司践行通过技术与产品,致力于广大客户营销效率和效果的持续提升。",False,3.282000e+09,0.731261,25.951696,2.006111
1456,01949,佰达国际控股有限公司,Cayman Islands 开曼群岛（英属）,2018-11-23,软件服务,50.0,"佰达国际控股有限公司成立於二零零四年,现已发展成为泰国成熟的IT解决方案供应商。於往绩记录期,公司主要为泰国金融机构以及政府部门及机构(主要为行政、电信及公用事业部门)提供服务。自公司成立以来,公司取得诸多大型政府项目,包括二零零六年的ATM项目、二零一零年的海啸探测系统及二零一四年的卫星系统项目。公司的总部位於曼谷,旨在获得不同期限及盈利能力的各类项目以建立强大及可持续的业务。於二零零六年,本集团就ATM项目取得与BAAC的长期战略业务合作,当中涉及收益分成模式。",False,1.459200e+08,NaN,-1.898523,1.904953
1457,01950,帝王实业控股有限公司,Cayman Islands 开曼群岛（英属）,2019-01-29,原材料,202.0,"帝王实业控股有限公司(‘本集团’)主要从事两个业务:涂饰剂及合成树脂的研发、制造及销售(‘人工革化学品业务’)及于2022度第二季度开始白酒产品的生产及销售(‘白酒业务’)。人工革化学品业务本集团之全资附属公司浙江深蓝新材料科技有限公司主要是一家中国人工革化学品制造商,公司主要从事涂饰剂(即着色剂、表面处理剂、助剂)及合成树脂的研发、制造及销售,公司的产品用作制造合成革,广泛用于服装鞋履、手袋箱包、汽车内饰、家居用品及运动器材等不同行业。公司致力提升及增强公司的研发能力,公司的研究院被评为省级企业研究院,公司于中国已拥有36项专利,并正在申请5项专利注册。数年来,公司的产品荣获多项荣誉与认可,如‘国家火炬计划产业化示范项目’、‘浙江省优秀工业新产品’、‘省重点高新技术产品’。此外,公司一直与学术机构合作,以优化公司现有产品的功能、特性及增加现有产品种类以及开发用于公司产品的新技术。白酒业务本集团已开始于中国生产及销售白酒产品,旨在探索于中国开展食品及饮料业务的商机。本公司非全资附属公司贵州帝池王酱酒业有限公司(‘贵州帝池王’)根据中国法律成立,其中本集团间接拥有其70.5%股权及湖南金铠文化传播有限责任公司拥有其29.50%股权。贵州帝池王自行采购生产白酒产品所必需的所有原材料,并通过原设备制造商安排将制造流程外判予一家独立白酒工厂生产白酒产品。贵州帝池王的白酒产品包含一系列全面的具有不同产品包装、酒精度、设计、口味等的产品,瞄准中国年轻一代大众到中产阶级的消费市场。贵州帝池王的白酒产品以‘帝王池’为商标销售。",False,7.776000e+07,NaN,3.088487,0.108270
1458,01951,锦欣生殖医疗集团有限公司,Cayman Islands 开曼群岛（英属）,2018-05-03,药品及生物科技,3365.0,"锦欣生殖医疗集团有限公司自1951年发展至今,锦欣生殖已发展成为中美领先的辅助生殖服务机构,并且不断地扩大公司的网络以提供越来越高价值的高端服务,集团目前在中国内地拥有及经营四川锦欣西囡妇女儿童医院静秀院区、四川锦欣西囡妇女儿童医院毕昇院区、深圳中山泌尿外科医院、武汉锦欣中西医结合妇产医院、云南九洲医院和昆明和万家妇产医院;在香港拥有香港生育康健中心和香港辅助生育中心;在美国拥有HRC辅助生殖中心(南加州大学凯克医学院附属生殖中心);在老挝拥有锦瑞医学中心(HRC亚洲生殖医学中心)。\r\n本集团成立可追溯至 2003 年, 当时资深及专责的医生及管理人员团队发愿在四川成都成立锦江 IVF 中心,以专注于辅助生殖服务及相关治疗。深圳中山医院于 2004 年 5 月由多名个人创办人(包括公司高级管理层成员之一曾勇先生)成立。深圳中山医院提供辅助生殖及其他辅助医疗服务,并协助深圳首个透过IVE-ET技术及IVF配合ICSI技术的婴儿诞生。\r\n根据弗若斯特沙利文报告, 公司中国网络内的辅助生殖医疗机构于 2018 年在中国辅助生殖服务市场中排名第三,进行了 20,958 个体外受精(「IVF」)取卵周期,市场份额约为 3.1%。根据相同指标,该等机构亦在 2018 年中国非国有辅助生殖服务机构中排名第一。\r\n本集团通过收购管理 HRC Medical 的 HRC Management,使公司增强了为国际患者(尤其是来自中国的患者)提供高价值辅助生殖服务的能力 HRC Fertility 为一间拥有逾30年经验的美国领先辅助生殖服务全方位服务机构。 除公司在中国提供的类似 IVF 服务外,亦提供植入前遗传筛查(「PGS」)服务及通过第三方诊所或机构提供植入前遗传学诊断(「PGD」)服务。按 2017 年为前往美国治疗的中国出境辅助生殖服务患者提供的IVF 治疗周期计, HRC Fertility 在美国所有辅助生殖服务机构中排名第一。",True,6.669636e+09,NaN,-6.398090,0.661990
1459,01952,云顶新耀有限公司,Cayman Islands 开曼群岛（英属）,2017-07-14,药品及生物科技,722.0,"云顶新耀有限公司是一家在香港上市(HKEX1952.HK),专注于创新药和疫苗研发、临床开发、制造及商业化的生物制药公司,致力于满足大中华区和其他亚洲市场尚未满足的医疗需求。云顶新耀的管理团队在中国及全球制药企业从事过高质量研发、临床开发、药政事务、化学制造与控制(CMC)、业务发展、运营和商业化,拥有深厚的专长和丰富的经验。公司在肾科疾病、mRNA平台、感染性和传染性疾病、自身免疫性疾病等领域已建立全球同类首创或者同类最佳的药物和疫苗组合。云顶新耀于2021年已启动商业上市,并正在组建专业高效的商业化团队,以加速产品在大中华区及其他亚太市场的商业化进程。同时,公司已组建强有力的药物发现与转化研究团队,推动药物和疫苗的自主研发工作。展望未来,公司将不断努力,成为亚洲行业领先的生物制药公司,惠及全球人类的健康与福祉,践行“引领新药,光耀生命”的使命,加速创新药物和疫苗的开发与商业化,满足中国乃至全球日益增长的医疗需求,致力于实现以创新药品促进生命健康的远大目标。",True,1.388147e+10,NaN,-19.675083,3.224087
1460,01953,Rimbaco Group Global Limited,Cayman Islands 开曼群岛（英属）,2019-02-28,建筑,111.0,"Rimbaco Group Global Limited是一家马来西亚楼宇建造承包商,创立于1985年,专营(i)工厂(包括低层加工设施与制造厂房);及(ii)机构、商业及╱或住宅楼宇(譬如私营医院、酒店、商场、高层住宅楼宇和商业及╱或住宅综合体)的楼宇建造服务。公司也承建小型配套建造工程,包括但不限于翻新工程、维修工程及电工工程。往绩记录期内及截至最后实际可行日期为止,公司参与23个楼宇建造项目,其中14个为工厂项目,九个为机构、商业及╱或住宅项目,原合约总值约1,935.7百万令吉。于最后实际可行日期,公司持有7个在建楼宇建造项目,原合约总值约1,088.6百万令吉。公司多年来已经完成或于最后实际可行日期仍在进行中的部分大型建造项目,包括Crimson Omega项目(原合约总值约518.0百万令吉)、GRB项目(原合约总值令吉约249.9百万)、项目A(原合约总值约212.0百万令吉)和Eco Medi项目(原合约总值约90.9百万令吉)。",False,4.410000e+08,10.571429,-164.358112,1.908044
1461,01955,香港庄臣控股有限公司,Cayman Islands 开曼群岛（英属）,2018-07-09,支援服务,13000.0,"香港庄臣控股有限公司(‘庄臣’)(股份代号:1955)于1979年开始竭诚为香港政府及各工商业机构提供全面的专业洁净服务。目前庄臣已发展成香港首屈一指的环境卫生服务供应商,拥有逾13,000名优秀员工,接近400辆专业用途车队以及各项ISO认证。公司提供的环境卫生服务范围广泛,包括楼宇清洁、公园及康乐中心清洁、街道清洁、消毒服务、虫害防治服务和环境改善服务。随着社会发展及大众对生活质素的要求提高,环境卫生服务需求日益提升,在原有的环卫服务上,庄臣亦不断完善服务范围,为不同客户层提供各类型切合需要的增值服务。凭着显赫商誉及优质专业服务,庄臣已成为香港人心目中可信赖的优质品牌。",False,2.500000e+08,1.740000,18.032314,0.409485
